ID,PDB code,pKd pKi pIC50,Canonical SMILES
1,10gs,6.4,O=C(N[C@H](C(=O)N[C@H](c1ccccc1)C(=O)O)CSCc1ccccc1)CC[C@@H](C(=O)O)[NH3+]
2,184l,4.72,CC(Cc1ccccc1)C
3,185l,3.54,c1ccc2c(c1)[nH]cc2
4,186l,4.85,CCCCc1ccccc1
5,187l,3.37,Cc1ccc(cc1)C
6,188l,3.33,Cc1ccccc1C
7,1a1e,6,CCCC[C@@H]1CCCN(C1)C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)C)CCC(=O)O
8,1a28,8.29,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C
9,1a30,4.3,CC(C[C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])CC(=O)O)C
10,1a4k,8,OC(=O)COC(=O)N[C@]12CC[C@H](CC1)[C@@H]1[C@H]2C(=O)N(C1=O)c1ccc(cc1)NC(=O)C
11,1a4r,6.66,O[C@@H]1[C@@H](COP(OP(O)(O)N)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
12,1a4w,5.92,O=C(N1CCCC[C@@H]1CCC(=O)c1nccs1)[C@@H](NS(=O)(=O)c1cccc2c1cccc2N(C)C)CCC[NH+]=C(N)N
13,1a69,5.3,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c2c1nc[nH]c2=O
14,1a94,7.85,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CC(C)C)Cc1ccccc1)CCC(=O)O)C
15,1a99,5.7,[NH3+]CCCC[NH3+]
16,1a9m,6.92,NC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)CCC[NH+]=C(N)N)NC(=O)[C@H](C(C)C)C[C@@H]([C@@H](NC(=O)C)CC1CCCCC1)O
17,1a9q,6.17,O=c1[nH]cnc2c1nc[nH]2
18,1aaq,8.4,COC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC[C@@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)C)Cc1ccccc1)O
19,1add,6.74,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nccc2N
20,1adl,5.36,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
21,1ado,6,OCC(=O)COP(O)(O)O
22,1afk,6.62,O[C@@H]1[C@H](OP(O)(O)O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(OP(O)(O)O)(O)O
23,1afl,6.28,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1OP(O)(O)O)n1cnc2c1ncnc2N
24,1ai4,2.5,OC(=O)Cc1ccc(c(c1)O)O
25,1ai5,3.72,OC(=O)Cc1cccc(c1)N(=O)=O
26,1ai7,4.09,Oc1ccccc1
27,1aid,4.82,Fc1ccc(cc1)C1(CCC[N@@H+]2CC[C@@](CC2)(O)c2ccc(cc2)Cl)SCCS1
28,1aj7,3.87,OC(=O)CCCCP(Oc1ccc(cc1)N(=O)=O)(O)O
29,1ajn,2.63,OC(=O)Cc1ccc(cc1)N(=O)=O
30,1ajp,2.23,OC(=O)Cc1cc(O)ccc1O
31,1ajq,4.31,OC(=O)Cc1cccs1
32,1ajv,7.72,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(S(=O)(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
33,1ajx,7.91,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(C(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
34,1alw,6.52,S[C@H](C(=O)O)Cc1ccccc1
35,1amk,4.3,OC(=O)COP(O)(O)O
36,1amw,4.54,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
37,1apv,9,CNC(=O)C(C([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)(O)O)(F)F
38,1atl,6.28,SC[C@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)OC)CC(C)C
39,1atr,6.96,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
40,1avn,3.9,C(c1cnc[nH]1)C[NH3+]
41,1ax0,3.13,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)NC(=O)C
42,1azm,6.1,CC(=O)Nc1nnc(s1)S(=O)(=O)N
43,1b05,7.12,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CS)[NH3+]
44,1b0h,6.7,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1cccc2c1cccc2)[NH3+]
45,1b1h,7.03,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCc1ccccc1)[NH3+]
46,1b2h,4.54,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC[NH3+])[NH3+]
47,1b32,7.1,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCSC)[NH3+]
48,1b38,6.6,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
49,1b3f,6.89,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1[nH]cnc1)[NH3+]
50,1b3g,6.7,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])[C@H](CC)C)[NH3+]
51,1b3h,6.21,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC1CCCCC1)[NH3+]
52,1b3l,5.89,[NH3+]CCCC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)O)CCCC[NH3+])[NH3+]
53,1b40,7.28,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1ccccc1)[NH3+]
54,1b46,5.28,[NH3+]CCCC[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCC[NH3+])[NH3+]
55,1b4h,5.46,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC[NH3+])[NH3+]
56,1b4z,5.23,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(=O)O)[NH3+]
57,1b51,7.37,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CO)[NH3+]
58,1b52,7.12,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])[C@H](O)C)[NH3+]
59,1b55,7.4,O[C@@H]1[C@H](OP(O)(O)O)[C@@H](OP(O)(O)O)[C@@H]([C@H]([C@@H]1OP(O)(O)O)O)OP(O)(O)O
60,1b57,8,ONC(=O)COP(O)(O)O
61,1b58,6.59,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1ccc(cc1)O)[NH3+]
62,1b5h,6.01,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])C[NH3+])[NH3+]
63,1b5i,7.05,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(=O)N)[NH3+]
64,1b5j,7.43,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC(=O)N)[NH3+]
65,1b6h,7.82,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC)[NH3+]
66,1b6j,7.92,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N)C(C)C)NC(=O)[C@@H]1CCC[N@H+]1C[C@@H]([C@H]1NC(=O)[C@H](CC(=O)N)NC(=O)CCCOc2ccc(C1)cc2)O)C
67,1b6k,8.74,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@@H](NC(=O)[C@@H](N2CCCC2=O)C(C)C)Cc2ccc(cc2)O)O)Cc2ccc(OCCCNC1=O)cc2)C
68,1b6l,8.3,NC(=O)C[C@@H]1NC(=O)CCCOc2ccc(C[C@H](NC1=O)[C@@H](C[N@@H+]1CCCC[C@H]1C(=O)NC(C)(C)C)O)cc2
69,1b7h,8.02,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCCC)[NH3+]
70,1b8n,10.52,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc(N)[nH]c2=O
71,1b8o,10.64,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
72,1b8y,7.85,OC(=O)CNS(=O)(=O)c1ccc(cc1)N1CCC(CC1)c1ccccc1
73,1b9j,5.96,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(C)C)[NH3+]
74,1bai,7.7,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CC(C)C)Cc1ccccc1)CCC(=O)O)C
75,1bcd,8.7,FC(S(=O)(=O)N)(F)F
76,1bcu,3.28,Nc1ccc2c(c1)nc1c(c2)ccc(c1)N
77,1bdq,6.34,O=C(OC(C)(C)C)N[C@H]([C@H](C[C@H](C(=O)N[C@H](c1ncc[nH]1)C(C)C)Cc1ccccc1)O)Cc1ccccc1
78,1bgq,8.57,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(C(=O)O1)c(O)cc(c2Cl)O
79,1bhf,4.38,CC[C@@H]([C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)CC(=O)O)NC(=O)C)CCC(=O)O)CCC(=O)O)C
80,1bhx,6.84,O=C([C@@H]1CS[C@@H]2N1C(=O)[C@@H](CC2)NS(=O)(=O)Cc1ccccc1)NCCC[NH+]=C(N)N
81,1bju,4.8,O=C(Nc1ccc(cc1)Cl)Nc1ccc(cc1)C(=[NH2+])N
82,1bjv,5.54,O=C(Nc1ccc(cc1)C(=[NH2+])N)Nc1ccc(cc1)Oc1ccccc1
83,1bm7,7.52,OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
84,1bma,4.59,CC(C[C@@H](C(=O)N[N@+](Cc1ccccc1)(CC(=O)Nc1ccc(cc1)C(C)C)C)NC(=O)C(F)(F)F)C
85,1bn1,9.34,Cc1ccc(cc1)CNS(=O)(=O)c1ccc(s1)S(=O)(=O)N
86,1bn3,9.89,COc1cccc(c1)N1C=Cc2c(S1(=O)=O)sc(c2)S(=O)(=O)N
87,1bn4,9.31,COc1ccc(cc1)CNS(=O)(=O)c1ccc(s1)S(=O)(=O)N
88,1bnn,10,COc1cccc(c1)N1CCc2c(S1(=O)=O)sc(c2)S(=O)(=O)N
89,1bnq,9.49,COCCN1C[C@H]([NH2+]CC)c2c(S1(=O)=O)sc(c2)S(=O)(=O)N
90,1bnt,9.8,COc1ccc(cc1)N1C[C@H](O)c2c(S1(=O)=O)sc(c2)S(=O)(=O)N
91,1bnu,9.7,O[C@H]1CN(Cc2cccs2)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
92,1bnv,8.77,C[NH2+][C@@H]1CN(c2cccc(c2)OC)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
93,1bnw,9.08,O=S(=O)(c1ccc(s1)S(=O)(=O)N)NCc1cccs1
94,1bp0,5.4,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(=O)[nH]c1=O
95,1bq4,5.22,OC(=O)c1c(C(=O)O)c(C(=O)O)c(c(c1C(=O)O)C(=O)O)C(=O)O
96,1br6,3.22,OC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(=O)[nH]c(n2)N
97,1bty,4.74,NC(=[NH2+])c1ccccc1
98,1bv7,10.3,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nccs1)Cc1cccc(c1)C(=O)Nc1nccs1
99,1bv9,9.96,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nccs1)Cc1cccc(c1)C(=O)Nc1nccs1
100,1bwa,8.6,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nccs1)Cc1cccc(c1)C(=O)Nc1nccs1
101,1bwb,8.42,O=C1N(Cc2cccc(c2)C(=O)Nc2nc3c([nH]2)cccc3)[C@H](Cc2ccccc2)[C@@H]([C@H]([C@H](N1Cc1cccc(c1)C(=O)Nc1nc2c([nH]1)cccc2)Cc1ccccc1)O)O
102,1bxo,10,COC(=O)[C@@H]1Cc2cccc(c2)CNC(=O)C[C@@H](C(=O)N[C@H](P(O1)(O)O)CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C
103,1bxq,7.38,COC(=O)[C@@H](OP([C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(=O)N)CC(C)C)(O)O)Cc1ccccc1
104,1bxr,3.4,O[C@@H]1[C@@H](COP(OP(NP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
105,1bzc,4.92,OC(=O)CC[C@@H](C(=O)N)NC(=O)c1ccc2c(c1)ccc(c2)C(P(O)(O)O)(F)F
106,1bzj,4.66,OC(=O)c1ccc2c(c1)ccc(c2)C(P(O)(O)O)(F)F
107,1bzy,8.34,O[C@H]1[C@@H]([NH2+][C@@H]([C@H]1O)COP(O)(O)O)c1c[nH]c2c1nc(N)[nH]c2=O
108,1c1r,7.63,NC(=[NH2+])c1ccc2c(c1)[nH]c(n2)Cc1nc2c([nH]1)cccc2
109,1c1u,8.25,NC(=[NH2+])c1ccc2c(c1)[nH]c(n2)Cc1nc2c([nH]1)cccc2
110,1c1v,7.64,NC(=[NH2+])c1ccc2c(c1)[nH]c(n2)Cc1nc2c([nH]1)cc(cc2)C(=[NH2+])N
111,1c3x,3.68,Ic1[nH]c2c(n1)c(=O)[nH]c(n2)N
112,1c4u,10.37,O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccc(cc1)Br)NC[C@@H]1CC[C@H](CC1)C(=[NH2+])N
113,1c5c,6.96,CC(=O)Nc1ccc2c(c1S(O)(O)O)cccc2S(O)(O)O
114,1c5n,4.7,Ic1cccc2c1cc(s2)C(=[NH2+])N
115,1c5o,3.49,NC(=[NH2+])c1ccccc1
116,1c5p,4.68,NC(=[NH2+])c1ccccc1
117,1c5q,6.36,Ic1cccc2c1cc(s2)C(=[NH2+])N
118,1c5s,6,NC(=[NH2+])c1cc2c(s1)cccc2
119,1c5t,4.1,NC(=[NH2+])c1cc2c(s1)nccc2
120,1c5x,6.68,Ic1cccc2c1cc(s2)C(=[NH2+])N
121,1c5y,4.2,NC(=[NH2+])c1cc2c(s1)nccc2
122,1c70,10.3,O[C@@H](C[C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)Cc1ccccc1)C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1cc2c(o1)cccc2
123,1c83,4.85,O=C(C(=O)O)Nc1cc2[nH]ccc2cc1C(=O)O
124,1c84,5,OC(=O)C(=O)Nc1cc2ccccc2cc1C(=O)O
125,1c86,4.7,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CCOC2
126,1c87,4.2,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CCOC2
127,1c88,5.29,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
128,1cbx,6.35,OC(=O)[C@H](Cc1ccccc1)CC(=O)O
129,1ceb,6,[NH3+]C[C@@H]1CC[C@H](CC1)C(=O)O
130,1cet,2.89,CC[NH+](CCC[C@H](Nc1ccnc2c1ccc(c2)Cl)C)CC
131,1cgl,6.87,CC(C[C@@H](C(=O)N[C@H](C(=O)NCC[NH+]1CCOCC1)Cc1ccccc1)[NH2+][C@@H](C(=O)O)CCNC(=O)OCc1ccccc1)C
132,1ciz,7.44,OC(=O)[C@H](NS(=O)(=O)c1ccc(cc1)N1CC[C@H](CC1)c1ccccc1)Cc1c[nH]c2c1cccc2
133,1cnw,7.72,[NH3+]CC(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N
134,1cnx,7.37,[NH3+]CCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N
135,1cny,7.85,[NH3+][C@H](C(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N)Cc1ccccc1
136,1cps,6.66,OC(=O)[C@@H](CS(=N)(=N)C)Cc1ccccc1
137,1ctt,4.52,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=CCNC1=O
138,1ctu,11.92,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C[C@H](NC1=O)O
139,1d09,7.57,O=C(CP(O)(O)O)N[C@H](C(=O)O)CC(=O)O
